Year,Industry_aggregation_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H04,Sales of goods and services,Financial performance,C,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,C,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,14,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,1885,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,51,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,5,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,99,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,169,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,1546,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,16,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,143,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,162,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,176,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H24,Total assets,Financial position,1853,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H25,Current assets,Financial position,877,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,757,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,131,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,10,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H29,Other assets,Financial position,218,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,1853,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,518,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,417,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,917,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,1173500,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,101200,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Percentage,H36,Current ratio,Financial ratios,210,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Percentage,H37,Quick ratio,Financial ratios,171,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Percentage,H39,Return on equity,Financial ratios,34,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Percentage,H40,Return on total assets,Financial ratios,10,ANZSIC06 groups C181 and C182
2018,Level 4,Basic Chemical and Basic Polymer Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,28,ANZSIC06 groups C181 and C182
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H01,Total income,Financial performance,1808,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H04,Sales of goods and services,Financial performance,C,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,C,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,7,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,1745,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,8,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,9,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,58,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,156,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,1511,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,2,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,310,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,351,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,104,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H24,Total assets,Financial position,1495,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H25,Current assets,Financial position,686,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,560,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,84,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,11,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H29,Other assets,Financial position,250,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,1495,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,1047,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,409,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,38,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,998000,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,57500,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Percentage,H36,Current ratio,Financial ratios,168,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Percentage,H37,Quick ratio,Financial ratios,82,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Percentage,H39,Return on equity,Financial ratios,10,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Percentage,H40,Return on total assets,Financial ratios,7,ANZSIC06 group C183
2018,Level 4,Fertiliser and Pesticide Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,70,ANZSIC06 group C183
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H01,Total income,Financial performance,1891,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H02,Sales of goods not further processed,Financial performance,449,"ANZSIC06 groups C184, C185, and C189"
